deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
20 Second Timer ⏰.wav,0.8709407,3.1068442,2.3421967,1.3175502,1.6895655,NISQAv2
20 Seconds of amazement! Incredible fetal development.wav,1.5611119,1.9872952,3.279449,2.0177705,1.7542835,NISQAv2
20 Seconds To Guess The Song 😈 (EASY).wav,1.2149581,1.4891481,1.8745873,1.7740237,1.6761816,NISQAv2
20 Seconds To Guess The Song？ (EASY) 🤫.wav,1.265028,1.4880209,3.5607944,1.7997143,2.2167034,NISQAv2
20 Seconds- Guess The Song (HARD) 😈.wav,0.9859591,1.5660877,3.1453962,1.682183,1.8127983,NISQAv2
20 Seconds- Guess The Song (wait for piano) 😏.wav,1.2972406,2.2394276,2.8089976,2.320911,1.9165797,NISQAv2
20 triggers in 20 seconds SPEEDRUN #asmr #shorts.wav,1.5378698,2.0559776,2.8305008,2.357118,1.8991829,NISQAv2
30 CHRISTMAS MAKEUP LOOKS IN 20 SECONDS？! ＊crazy ending＊ #shorts.wav,1.2606925,1.3572475,3.8129983,2.3125207,2.2297137,NISQAv2
ASMR ✨20 TRIGGERS IN 20 SECONDS✨challenge! #shorts #asmr #shortsvideo.wav,1.0058881,1.4794375,1.7381115,1.6648031,1.7243261,NISQAv2
Eat This in 20 SECONDS or be Punished!! 😳.wav,3.4282482,3.1588116,4.108268,3.9915876,3.874452,NISQAv2
Fall Asleep in 20 Seconds #asmr #sleep #relax #asmrsleep #asmrvisuals.wav,1.1737028,1.6888465,1.5431252,2.200721,1.9927648,NISQAv2
FNAF Lore Explained in 20 Seconds - Part 1.wav,2.0720441,2.4968863,2.651515,3.5227354,2.4180744,NISQAv2
This Video Will Make YOU Hallucinate 😵‍💫 Must Watch! #shorts.wav,2.0453193,1.7739316,3.9497328,3.1927934,1.8660452,NISQAv2
Villain with a Crush in 20 Seconds ｜ WEBTOON.wav,2.5706015,2.100808,3.895683,3.4235923,2.286762,NISQAv2
